sackin,e.i.ratio,mean.lin.time,max.branch,time1,CV
0.184920198,2.453033082,0.418922559,7.25E-05,3,0.700084898
,,,,9,0.594186905
,,,,16,0.589284724
,,,,19,0.583403002
,,,,21,0.48305055
,,,,25,0.533335513
,,,,28,0.604640145
,,,,34,0.525487006
,,,,40,0.533951272
,,,,42,0.535121195
,,,,43,0.616048233
,,,,49,0.476784877
,,,,56,0.524571355
,,,,62,0.416676556
,,,,68,0.529719679
,,,,81,0.450846407
