sackin,e.i.ratio,mean.lin.time,max.branch,time1,CV
0.349087003,2.458162731,0.425555556,4.10E-05,3,0.859080625
,,,,14,0.717421955
,,,,24,0.566264207
,,,,34,0.505822019
,,,,45,0.439253059
,,,,51,0.533878015
,,,,61,0.464480105
,,,,66,0.604664771
,,,,68,0.769484865
,,,,77,0.458289135
,,,,80,0.584654631
