sackin,e.i.ratio,mean.lin.time,max.branch,time1,CV
0.24691358,2.055647398,0.458930163,4.79E-05,2,0.556525201
,,,,25,0.439800876
,,,,31,0.47284787
,,,,44,0.597471862
,,,,50,0.48694679
,,,,56,0.529727174
,,,,62,0.752196302
,,,,74,0.65632667
,,,,80,0.582709813
