sackin,e.i.ratio,mean.lin.time,max.branch,time1,CV
0.510457886,2.105471377,0.471111111,3.05E-05,3,0.728850877
,,,,9,0.59182566
,,,,17,0.601157664
,,,,39,0.52223126
,,,,63,0.429932403
,,,,86,0.475590539
